FB URL,Correu a lista?
https://www.facebook.com/anacaroline.nascimento.3367,SIM
https://www.facebook.com/betojorge.jorge,SIM
https://www.facebook.com/simone.silva.564813,SIM
https://www.facebook.com/ma.novais.9,SIM
https://www.facebook.com/swamya.rafaella,SIM
https://www.facebook.com/dinnyduarte,SIM
https://www.facebook.com/ludimila.soares.739,SIM
https://www.facebook.com/marcelo.miguel.714,SIM
https://www.facebook.com/marcia.garcia.90663,SIM
https://www.facebook.com/pricila.mel.3,SIM
https://www.facebook.com/melissaeduarda.silva.9,SIM
https://www.facebook.com/marciarenata.davila,SIM
https://www.facebook.com/nadja.lais.104,SIM
https://www.facebook.com/shay.smiiths,SIM
https://www.facebook.com/profile.php?id=100007149434902,SIM
https://www.facebook.com/ryan.felipe.169,SIM
https://www.facebook.com/pamela.gabriele.7,SIM
https://www.facebook.com/naaymessias,SIM
https://www.facebook.com/ingrid.jesien,SIM
https://www.facebook.com/luiza.santarosa.79,SIM
https://www.facebook.com/sherk.kiopa,SIM
https://www.facebook.com/karina.siqueira.5437923,SIM
https://www.facebook.com/jeane.paz.54,SIM
https://www.facebook.com/carlanutri8,SIM
https://www.facebook.com/priscila.barbosa.54,SIM
https://www.facebook.com/profile.php?id=100012711816874,SIM
https://www.facebook.com/kathleen.mendonca.10,SIM
https://www.facebook.com/deiviane.motaaraujo,SIM
https://www.facebook.com/debora.vleao,SIM
https://www.facebook.com/flavia.cajola,SIM
https://www.facebook.com/jocy.lopesbecker,SIM
https://www.facebook.com/arina.brito.56,SIM
https://www.facebook.com/tamires.simoeslima,SIM
https://www.facebook.com/mary.moraes.10485,SIM
https://www.facebook.com/lucas.gabrielle.798,SIM
https://www.facebook.com/taciana.melo.790,SIM
https://www.facebook.com/daniele.costa.7921,SIM
https://www.facebook.com/Deda.Massafra,SIM
https://www.facebook.com/profile.php?id=100000227227534,SIM
https://www.facebook.com/laura.eloa.1,SIM
https://www.facebook.com/profile.php?id=100059327025062,SIM
https://www.facebook.com/kelly.demenezes.71,SIM
https://www.facebook.com/ariane.silva.1447,SIM
https://www.facebook.com/biahdearaujo,SIM
https://www.facebook.com/kymberlly.palermo,SIM
https://www.facebook.com/jessika.jeovani,SIM
https://www.facebook.com/profile.php?id=100001676248265,SIM
https://www.facebook.com/carool.silva.73594,SIM
https://www.facebook.com/priscila.p.benevides,SIM
https://www.facebook.com/ariane.baptistella,SIM
https://www.facebook.com/beataques,SIM
https://www.facebook.com/tiago.sanchesbiscari,SIM
https://www.facebook.com/cinthiabds,SIM
https://www.facebook.com/marizo.teodozzio,SIM
https://www.facebook.com/felipe.amaral.169,SIM
https://www.facebook.com/rosana.d.almeida.9,SIM
https://www.facebook.com/nutri.diana.dias/,SIM
https://www.facebook.com/profile.php?id=100066307247370,SIM
https://www.facebook.com/profile.php?id=100054357402385,SIM
https://www.facebook.com/tarcisio.caricatura,SIM
https://www.facebook.com/eurides.brasilino,SIM
https://www.facebook.com/profile.php?id=100006475050882,SIM
https://www.facebook.com/isabelcrisilva,SIM
https://www.facebook.com/luana.almeida.ls,SIM
https://www.facebook.com/profile.php?id=100003672508849,SIM
https://www.facebook.com/lidiane.goncalves.731,SIM
https://www.facebook.com/zuhdia.abud,SIM
https://www.facebook.com/carolinerlisboa,SIM
https://www.facebook.com/analaura.dutracoelho,SIM
https://www.facebook.com/daviairess,SIM
https://www.facebook.com/alda.s.pereira,SIM
https://www.facebook.com/anapaula.rodrigues.9634,SIM
https://www.facebook.com/JessicaSlycat,SIM
https://www.facebook.com/mariaalice.bresciani,SIM
https://www.facebook.com/lariessalima,SIM
https://www.facebook.com/carina.araujo.5437,SIM
https://www.facebook.com/pamela.meira.12,SIM
https://www.facebook.com/silvana.andrade.18,SIM
https://www.facebook.com/regiane.s.nobre,SIM
https://www.facebook.com/rubia.boing,SIM
https://www.facebook.com/desiree.pereira.33,SIM
https://www.facebook.com/isete.donatobaptistoti,SIM
https://www.facebook.com/domenica.conceicaodias,SIM
https://www.facebook.com/marilza.lourenco.3597,SIM
https://www.facebook.com/luiza.poitena,SIM
https://www.facebook.com/amandacamilaq,SIM
https://www.facebook.com/profile.php?id=100011440067598,SIM
https://www.facebook.com/gabi.moura.7965,SIM
https://www.facebook.com/profile.php?id=100002081820728,SIM
https://www.facebook.com/lucaspereralves,SIM
https://www.facebook.com/beatriz.pereira.14855,SIM
https://www.facebook.com/monica.carvalho.75839,SIM
https://www.facebook.com/isabella.guimaraes.370,SIM
https://www.facebook.com/vinicius.defourny,SIM
https://www.facebook.com/profile.php?id=100016427621813,SIM
https://www.facebook.com/carina.pedro.3323,SIM
https://www.facebook.com/elica.wallace,SIM
https://www.facebook.com/daia.alves.96,SIM
https://www.facebook.com/juliademacedomoura,SIM
https://www.facebook.com/nutricionista.priscilasantos.7,SIM
https://www.facebook.com/beatrizmesquita.rafaelaraujo,SIM
https://www.facebook.com/anaclara.rosseto.1,SIM
https://www.facebook.com/ana.soares.50596,SIM
https://www.facebook.com/lidiane.andrade.1232,SIM
https://www.facebook.com/Le5onardo,SIM
https://www.facebook.com/julopesl,SIM
https://www.facebook.com/myrelli.brandao,SIM
https://www.facebook.com/mayara.barrosbueno.9,SIM
https://www.facebook.com/marair.daiame,SIM
https://www.facebook.com/flavia.alves.378,SIM
https://www.facebook.com/ruth.aranda.524,SIM
https://www.facebook.com/bethania.dafonseca,SIM
https://www.facebook.com/tata.r.soares.12,SIM
https://www.facebook.com/tomm.abel.1,SIM
https://www.facebook.com/sok.pheary.92,SIM
https://www.facebook.com/jerry.herraiz,SIM
https://www.facebook.com/profile.php?id=100004936154735,SIM
https://www.facebook.com/thays.menezes2,SIM
https://www.facebook.com/patty.figueiredo.5,SIM
https://www.facebook.com/manuh.oliveira.5,SIM
https://www.facebook.com/nutriadrianabraz,SIM
https://www.facebook.com/helenacompareti,SIM
https://www.facebook.com/anapaulamattosrodrigues,SIM
https://www.facebook.com/isabella.maria.75457,SIM
https://www.facebook.com/li.souza.796,SIM
https://www.facebook.com/sara.barroso.7564,SIM
https://www.facebook.com/profile.php?id=100009350891006,SIM
https://www.facebook.com/simonebardusco,SIM
https://www.facebook.com/david.gomes.980315,SIM
https://www.facebook.com/jessica.tavares.79,SIM
https://www.facebook.com/grazielle.ribeiro.1840,SIM
https://www.facebook.com/tatianasantana.santana.560,SIM
https://www.facebook.com/riva.freitas.5,SIM
https://www.facebook.com/vanja.maria.948,SIM
https://www.facebook.com/anapaula.monteiro.9,SIM
https://www.facebook.com/nayara.priostevilanova,SIM
https://www.facebook.com/torteria.amoremio,SIM
https://www.facebook.com/anny.oliveira.73,SIM
https://www.facebook.com/andressa.silva.12979,SIM
https://www.facebook.com/Empregos-no-Qatar-478339302197953/,SIM
https://www.facebook.com/merima.fazlic.988,SIM
https://www.facebook.com/marcosroberto.silvajunior.1,SIM
https://www.facebook.com/isabela.martineli.73,SIM
https://www.facebook.com/profile.php?id=100039628770499,SIM
https://www.facebook.com/luana.faiser.777,SIM
https://www.facebook.com/profile.php?id=100017064001001,SIM
https://www.facebook.com/profile.php?id=100009331129067,SIM
https://www.facebook.com/leidiane.felipe.75,SIM
https://www.facebook.com/kamilla.bertu,SIM
https://www.facebook.com/rafaela.costa.71868,SIM
https://www.facebook.com/anarubia.dacencio,SIM
https://www.facebook.com/vitoriasrvnutri,SIM
https://www.facebook.com/profile.php?id=100001398217780,SIM
https://www.facebook.com/FadulDeborah,SIM
https://www.facebook.com/drika.araujo.125,SIM
https://www.facebook.com/izaa.gomes.39,SIM
https://www.facebook.com/nathalia.b.hoffmann,SIM
https://www.facebook.com/ana.lazari.39,SIM
https://www.facebook.com/veeemk,SIM
https://www.facebook.com/Girznde,SIM
https://www.facebook.com/xandynha.vanessa,SIM
https://www.facebook.com/andreia.ferraz.7165,SIM
https://www.facebook.com/Laudiceiamachadopereira,SIM
